FREQUENCY,BCODE,waterway,name
7,ADIG,canal, 
1,ADIG,canal,Adigetto
1,ADIG,canal,Canale Alto Agro Veronese
1,ADIG,canal,Canale Biffis
1,ADIG,canal,Canale Bisatto
5,ADIG,canal,Canale Gorzone
1,ADIG,canal,Canale industriale Camuzzoni
1,ADIG,canal,Canale L.E.B.
1,ADIG,canal,Canale S.A.V.A.
1,ADIG,canal,Fiume Adigetto
1,ADIG,canal,Fossa Grande di Caldaro - Großer Kalterer Graben
1,ADIG,canal,Galleria Adige-Garda
1,ADIG,canal,Roggia Arzignano
1,ADIG,canal,Scolo Fiumicello
1,ADIG,canal,Scolo Lozzo
1,ADIG,canal,Scolo principale San Pietro
4,ADIG,dam, 
1,ADIG,dam,Neves-Staumauer
14,ADIG,ditch, 
1,ADIG,ditch,Ackerwaal
1,ADIG,ditch,Dugale Sant'Ambrogio
1,ADIG,ditch,Fossa di Laives - Leiferergraben
2,ADIG,ditch,Fossa Grande
1,ADIG,ditch,Fossa Lidorno
1,ADIG,ditch,Fosso Landgraben
1,ADIG,ditch,Fosso San Antonio
1,ADIG,ditch,Ilzwaal
1,ADIG,ditch,Irrigazione Cogo
1,ADIG,ditch,Lebenbergerbach - Rio di Monte Leben
1,ADIG,ditch,Marlinger Mühlbach - Rio Molino di Marlengo
1,ADIG,ditch,Ons Bach - Rio Ones
1,ADIG,ditch,Rio Revere
1,ADIG,ditch,Roggia Carlotto
1,ADIG,ditch,Roggia Marinati
1,ADIG,ditch,Scolo Bolognese
1,ADIG,ditch,Valle Panati
12,ADIG,drain, 
1,ADIG,drain,Adduttore Scolmatore
2,ADIG,drain,Canale Tramezzo
1,ADIG,drain,Colatore Arzarino
1,ADIG,drain,Controfossa sinistra Vampadore
1,ADIG,drain,Dugale Grezzana
1,ADIG,drain,Etschgraben - Fossa dell'Adige
1,ADIG,drain,Fossa Leona
1,ADIG,drain,Fossa Piccola di Caldaro - Kleiner Kalterer Graben
2,ADIG,drain,Scolo Arnalda
1,ADIG,drain,Scolo Bertotti
1,ADIG,drain,Scolo Bressana
1,ADIG,drain,Scolo Casaria
1,ADIG,drain,Scolo Colombaretta
1,ADIG,drain,Scolo Degora di Montagnana
1,ADIG,drain,Scolo Desturo di Monselice
